-,-,地獄級,-,-,-,-,-,-
1,こだま-46c22835f7dbc6a32df3a08cdcc691ea.png,こだまx2,木,12957,3,59253,0,ウォーターバインド<br>流水変化の術・木（水ドロップ→木ドロップ）
1,ドラゴンフラワー-18a792c38229c7190b954d130deb3dc2.png,ドラゴンフラワー,木,-,3,85983,30,予兆の花粉（先制攻撃2580）<br>フラワービーム（連続攻撃387060）
2,トレント-496f9a1e560edd1b06ec5ddd42bc6782.png,トレントx2,木,22453,5,13493,54000,絡みつく根（3体1～3ターンバインド、1度きり）※25%以下で使用
2,森の賢人・トレント-d804d699dd99c2a633e2d8e14bdbf84a.png,森の賢人・トレント,木,22517,4,13707,54000,絡みつく根（3体1～3ターンバインド、1度きり）※25%以下で使用
3,蒼樹星・ファフニール-20783a7e4a8cc87c3f721c811ab8aa48.png,蒼樹星・ファフニール,木水,-,1,801387,208,…グルルル（何もしない）先制、3回使用<br>覚醒（999ターン攻撃力3倍）<br>龍星（3倍時、連続攻撃37026）
4,コカトリス-16ee39737ec15de4a7928560798a44a3.png,コカトリスx2,水,6930,2,28200,160,ピヨピヨ鳴いている（何もしない）<br>コンフューズアイ（ランダム2色排除）<br>イビルアイ（1体5ターンバインド）
4,疾駆の人馬・ケンタウロス-34df85755947908b20cf69a22d9808ff.png,疾駆の人馬・ケンタウロス,木,4740,1,152250,15000,疾風突き（先制攻撃2844）<br>孤軍奮闘（1体の時、999ターン攻撃力3倍）<br>五月雨突き（1659x3～4の連続攻撃）<br>踏み込み（474）※30%以下で使用<br>クリティカルチャージ（9480）※30%以下で使用
5,豊穣神・ホーリーセレス-d6ccc83dc7f3568c237a55649082ae3b.png,豊穣神・ホーリーセレス,木光,-,2,1129973,0,実りの兆し（8248ダメージ＆ランダム1色→回復ドロップ）<br>フラワーワールド（16496ダメージ＆回復ドロップ→木ドロップ）<br>鎮火の祈り（火属性3～5ターンバインド、1度きり）※50%以下で使用<br>魔力を溜めている（次回シャイニングストーム）※50%以下で使用<br>シャニングストーム（連続攻撃17596～21995）
6,覚醒ガイア-c799699d5e66ab112d84be43058a5e46.png,覚醒ガイア,木,-,1,1008907,6667,大地のコア（先制・5ターン火属性吸収）<br>恵みの土塊（8117ダメージ＆ランダム1色→回復ドロップ）<br>アースグラビティ（残りHP99％ダメージ）<br>ストーングレイブ（連続攻撃4870）<br>封印の巨石（6088ダメージ＆1体2ターンバインド）※30%以下で使用<br>グラウンド・リベンジ（連続攻撃9741）※30%以下で使用
-,-,超級,-,-,-,-,-,-
1,こだま-46c22835f7dbc6a32df3a08cdcc691ea.png,こだまx2,木,8430,3,38550,0,ウォーターバインド<br>流水変化の術・木（水ドロップ→木ドロップ）
1,ドラゴンフラワー-18a792c38229c7190b954d130deb3dc2.png,ドラゴンフラワー,木,-,3,69792,30,予兆の花粉（先制攻撃2094）<br>フラワービーム（連続攻撃314160）
2,トレント-496f9a1e560edd1b06ec5ddd42bc6782.png,トレントx2,木,8888,5,5341,54000,絡みつく根（3体1～3ターンバインド、1度きり）※25%以下で使用
2,森の賢人・トレント-d804d699dd99c2a633e2d8e14bdbf84a.png,森の賢人・トレント,木,8913,4,5426,54000,絡みつく根（3体1～3ターンバインド、1度きり）※25%以下で使用
3,蒼樹星・ファフニール-20783a7e4a8cc87c3f721c811ab8aa48.png,蒼樹星・ファフニール,木水,-,1,317216,104,…グルルル（何もしない）先制、3回使用<br>覚醒（999ターン攻撃力3倍）<br>龍星（3倍時、連続攻撃25842）
4,コカトリス-16ee39737ec15de4a7928560798a44a3.png,コカトリスx2,水,2684,2,19113,112,ピヨピヨ鳴いている（何もしない）<br>コンフューズアイ（ランダム2色排除）<br>イビルアイ（1体5ターンバインド）
4,疾駆の人馬・ケンタウロス-34df85755947908b20cf69a22d9808ff.png,疾駆の人馬・ケンタウロス,木,2684,1,103192,15000,疾風突き（先制攻撃1928）<br>孤軍奮闘（1体の時、999ターン攻撃力3倍）<br>五月雨突き（1125x3～4の連続攻撃）<br>踏み込み（321）※30%以下で使用<br>クリティカルチャージ（6426）※30%以下で使用
5,豊穣神・ホーリーセレス-d6ccc83dc7f3568c237a55649082ae3b.png,豊穣神・ホーリーセレス,木光,-,2,788627,0,実りの兆し（5756ダメージ＆ランダム1色→回復ドロップ）<br>フラワーワールド（11513ダメージ＆回復ドロップ→木ドロップ）<br>鎮火の祈り（火属性3～5ターンバインド、1度きり）※50%以下で使用<br>魔力を溜めている（次回シャイニングストーム）※50%以下で使用<br>シャニングストーム（連続攻撃12280～15350）
6,覚醒ガイア-c799699d5e66ab112d84be43058a5e46.png,覚醒ガイア,木,-,1,704133,6111,大地のコア（先制・5ターン火属性吸収）<br>恵みの土塊（5665ダメージ＆ランダム1色→回復ドロップ）<br>アースグラビティ（残りHP99％ダメージ）<br>ストーングレイブ（連続攻撃3400）<br>封印の巨石（4249ダメージ＆1体2ターンバインド）※30%以下で使用<br>グラウンド・リベンジ（連続攻撃6798）※30%以下で使用
