-,-,超地獄級,-,-,-,-,-,-
?,霊護の白虎・ハク-9cbba6f038081759d381a5380f80d9d8.png,霊護の白虎・ハク,闇,8569,1,2016042,310,※精霊の宝玉イベント時のみ稀に出現、闇の宝玉を確定ドロップ<br>封印の波動（先制・5ターンスキル使用不可）<br>西方七星陣（計41986の連続攻撃）※HP20%以下で使用
1,地獄の番犬・ケルベロス-a6445512a0d32e3827622d6502d54e69.png,地獄の番犬・ケルベロス,闇,-,3,453450,460,連続攻撃（43428）
2,風天双極星・ファフニール-c082e263f04d6a03bedfd5e13558229e.png,風天双極星・ファフニール,木,-,1,2086042,0,…グルルル（何もしない）先制、3回使用<br>覚醒（999ターン攻撃力3倍）<br>龍星（3倍時、連続攻撃33708）
3,剛腕無双・ギガンテスグレイト-8db3b442626b738f76813d98b7d56b51.png,剛腕無双・ギガンテスグレイト,火光,-,1,1530625,0,グレイトラリアット（先制攻撃17111）<br>グゥゥゥレイトォッ！！（何もしない）<br>グレイトプレス（残りHP99％ダメージ）<br>グレイトチョップ（17111）<br>スーパーファイナルビッグバングレイトォ（何もしない、1度きり）※HP50%以下で使用<br>ファイアァァァーー!!!（連続攻撃205332）※HP50%以下で使用
4,天上界の使徒・エンジェル-01f95d5e1e560dd117fceda327656b48.png,天上界の使徒・エンジェル,光水,9042,1,522847,0,冷徹な眼光（先制・5ターンドロップ操作時間1秒短縮）<br>シャイニングレイ（6782ダメージ＆ランダム1色→光ドロップ）<br>リザレクション（HP全回復、1度きり）※HP75%以下で使用<br>ハートブレイク（4521ダメージ＆回復ドロップ排除）※HP30%以下で使用
5,試練の剛神・ヘラクレス-03e536623ca9e7429f64c5e98a02ff1e.png,試練の剛神・ヘラクレス,木光,-,1,5039375,670,最初の試練（先制・2ターンスキル使用不可）<br>ぶん殴り（残りHP99％ダメージ）<br>ミリオンパンチ（10000）<br>第二の試練（6体を2ターンバインド）<br>ヒュドラの毒矢（ドロップ7つ→毒ドロップ）<br>ミリオンパンチ（10000）<br>第三の試練（次回ダブルミリオンパンチ）<br>ダブルミリオンパンチ（20000）<br>最後の試練（何もしない）<br>ギガンティックブレイク！（4カウント後、連続攻撃200000）
-,-,地獄級,-,-,-,-,-,-
1,地獄の番犬・ケルベロス-a6445512a0d32e3827622d6502d54e69.png,地獄の番犬・ケルベロス,闇,-,3,243049,322,連続攻撃（23276）
2,風天双極星・ファフニール-c082e263f04d6a03bedfd5e13558229e.png,風天双極星・ファフニール,木,-,1,1118118,0,…グルルル（何もしない）先制、3回使用<br>覚醒（999ターン攻撃力3倍）<br>龍星（3倍時、連続攻撃18072）
3,剛腕無双・ギガンテスグレイト-8db3b442626b738f76813d98b7d56b51.png,剛腕無双・ギガンテスグレイト,火光,-,1,820415,0,グレイトラリアット（先制攻撃9172）<br>グゥゥゥレイトォッ！！（何もしない）<br>グレイトプレス（残りHP99％ダメージ）<br>グレイトチョップ（9172）<br>スーパーファイナルビッグバングレイトォ（何もしない、1度きり）※HP50%以下で使用<br>ファイアァァァーー!!!（連続攻撃110064）※HP50%以下で使用
4,天上界の使徒・エンジェル-01f95d5e1e560dd117fceda327656b48.png,天上界の使徒・エンジェル,光水,4846,1,280246,0,冷徹な眼光（先制・5ターンドロップ操作時間1秒短縮）<br>シャイニングレイ（3635ダメージ＆ランダム1色→光ドロップ）<br>リザレクション（HP全回復、1度きり）※HP75%以下で使用<br>ハートブレイク（2423ダメージ＆回復ドロップ排除）※HP30%以下で使用
5,試練の剛神・ヘラクレス-03e536623ca9e7429f64c5e98a02ff1e.png,試練の剛神・ヘラクレス,木光,-,1,2701105,402,最初の試練（先制・2ターンスキル使用不可）<br>ぶん殴り（残りHP99％ダメージ）<br>ミリオンパンチ（10000）<br>第二の試練（6体を2ターンバインド）<br>ヒュドラの毒矢（ドロップ7つ→毒ドロップ）<br>ミリオンパンチ（10000）<br>第三の試練（次回ダブルミリオンパンチ）<br>ダブルミリオンパンチ（20000）<br>最後の試練（何もしない）<br>ギガンティックブレイク！（4カウント後、連続攻撃200000）
