-,-,超地獄級,-,-,-,-,-,-
?,地鎮の玄武・メイメイ-1e969d8afde823ccff5cbd9136ad2327.png,地鎮の玄武・メイメイ,木,8569,1,2016042,310,※精霊の宝玉イベント時のみ稀に出現、木の宝玉を確定ドロップ<br>封印の波動（先制・5ターンスキル使用不可）<br>北方七星陣（計47997の連続攻撃）※HP20%以下で使用
1、4,パイロデビル-f73c59ee6d935defbddca5ca2a7da9fd.png,パイロデビル,火,4601,1,25188,1820,怒り（3ターン攻撃力1.3倍）
1、4,フロストデビル-2d2aab41fadebe58f0b5a35f6f786684.png,フロストデビル,水,4641,1,25387,1820,怒り（3ターン攻撃力1.3倍）
1、4,タウロスデビル-ddef0b499b5ccde385ffd5da1de334b4.png,タウロスデビル,木,4720,1,25585,1820,怒り（3ターン攻撃力1.3倍）
1、4,ハーピィデビル-6190755fb56cedf53a7c74f761321b3d.png,ハーピィデビル,光,4760,1,25982,1820,怒り（3ターン攻撃力1.3倍）
1、4,ブラッドデビル-2b01e4a9800447bd50fab57fdba702e2.png,ブラッドデビル,闇,4879,1,26180,1820,怒り（3ターン攻撃力1.3倍）
1、4,パイロデーモン-d240e42b9f9dabd706fe4b55a0fce8d7.png,パイロデーモン,火,7219,1,61682,2860,ウォーターバインド
1、4,フロストデーモン-b51fc8156ccd7e89c7c0dde858991dd0.png,フロストデーモン,水,7259,1,63665,2860,リーフバインド
1、4,タウロスデーモン-8e7d296ea8444381155bf1e9aaf53aff.png,タウロスデーモン,木,7497,1,65648,2860,ファイアバインド
1、4,ハーピィデーモン-2d61e395bc5622983a50be1ab0a75632.png,ハーピィデーモン,光,7338,1,67632,2860,ダークバインド
1、4,ブラッドデーモン-9c2297652c93d805bac54ccb6101abe7.png,ブラッドデーモン,闇,7378,1,69615,2860,フラッシュバインド
1、4,炎の魔剣士-fda395aeee6ccab8e7b4cce56b2e19b8.png,炎の魔剣士,火,8568,3,100952,1170,-
1、4,氷の魔剣士-f4f53dc81bf005b4075c53eff709cd88.png,氷の魔剣士,水,8647,3,100952,1170,-
1、4,岩の魔剣士-063db447c6461b46327dff9c76534801.png,岩の魔剣士,木,8766,3,100952,1170,-
1、4,光の魔剣士-29c9e7ffa8d3911dfa2750996ba763e8.png,光の魔剣士,光,8806,3,100952,1170,-
1、4,闇の魔剣士-e2ced2b19074cb5098a9e4f16855e6e1.png,闇の魔剣士,闇,8885,3,100952,1170,-
1、4,サイクロプス-d7f22d3c4d8fb0e3b945da116a66b2f6.png,サイクロプス,光,13566,3,180087,0,ヘビーブロウ（残りHP75％ダメージ）<br>メガインパクト（20349）※HP30%以下で使用
1,-,上記から2体が出現,-,-,-,-,-,-
2,雷光の巨漢・サイクロプス-0b1a655fb614a73a91119ead697752f8.png,雷光の巨漢・サイクロプスx3,光,15090,3,902250,0,ヘビーブロウ（残りHP75％ダメージ）<br>武器を振り上げた（何もしない、次回ギガインパクト使用）※HP50%以下で使用<br>ギガインパクト（30180）※HP50%以下で使用
3,ブラックバロン-f29072a64960f6712ccec88dc6162dcd.png,ブラックバロン,闇,-,1,139931,60000,ポイズンエッジ（先制・6469ダメージ＆ドロップ3個→毒ドロップ）<br>カオスエッジ（7611ダメージ＆ランダム1色排除）
4,-,上記から3～4体が出現,-,-,-,-,-,-
5,トルネードホーリードラゴン-22581e42147981590955c4674cc30de0.png,トルネードホーリードラゴン,光木,-,1,1391736,4100,豊穣の守り（先制・999ターン状態異常無効）<br>ディザスター・エア（3カウント後、連続攻撃65082ダメージ）
6,ブラッドデーモン-9c2297652c93d805bac54ccb6101abe7.png,ブラッドデーモンx2,闇,5580,1,69615,2860,フラッシュバインド<br>ヴァンパイアロード,闇,10350,2,925450,1050,リセットウェーブ（補助スキル解除）<br>ダークワールド（ドロップが見えなくなる）<br>ナイトメアスラッシュ（計21924の連続攻撃）※HP20%以下で使用<br>リザレクション※HP20%以下で使用
7,慈愛神・カオスヴィーナス-b4778342ba3b06d40a1c4a561104811d.png,慈愛神・カオスヴィーナス,光闇,-,1,1252569,0,混沌の守り（先制・10ターン闇属性吸収）<br>ラブハリケーン（連続攻撃8124）<br>テンプテーション（サブ3体2～3ターンバインド、1度きり）※HP50%以下で使用<br>キャンディー＆（ランダム1色→回復ドロップ、次回デス使用）<br>デス（連続攻撃20305）
8,-,いずれか2体が出現（同じ種類が2体出現することもある）,-,-,-,-,-,-
8,光天獄・ハーピィデーモン-9331785fcd30d5b6dadd34ff00680043.png,光天獄・ハーピィデーモン,光,11707,1,835293,1120,イビルスラッシュ（連続攻撃21072）<br>ダークバインド
8,闇地獄・ブラッドデーモン-5bafc24c9cc7692ebe94c9230ff4b9f6.png,闇地獄・ブラッドデーモン,闇,11872,1,840377,1120,イビルスラッシュ（連続攻撃21372）<br>フラッシュバインド
9,覚醒アテナ-abe20740c82673faf6bf2a5d89c2fc9e.png,覚醒アテナ,光木,10153,1,2226875,1675,イージスの煌き（先制・999ターン4コンボ以下の攻撃吸収）<br>シャイニングスピア（8122ダメージ＆ランダム1色→光ドロップ）<br>ストームパニッシャー（連続攻撃12186）※HP50%以下で使用<br>終わりにしましょう！（次回からスターバースト、1度きり）※HP15%以下で使用<br>スターバースト（連続攻撃101530）※HP15%以下で使用
10,覚醒ヘラ・ソエル-bee6405357dbabe3a0f09bb1a7bd5342.png,覚醒ヘラ・ソエル,光闇,12236,1,3129653,3350,耀冥妃のささやき（先制・5ターンスキル使用不可）<br>神々の守り（999ターン状態異常無効）<br>シャインブラスト（12236ダメージ＆闇ドロップ→光ドロップ）<br>サンダーアロー（6118ダメージ＆サブ1体2ターンバインド）<br>耀冥妃の試練（5ターン5コンボ以下の攻撃吸収）※HP50%以下で使用<br>耀冥妃の裁き（3カウント後、連続攻撃61180ダメージ）※HP50%以下で使用
