-,-,超地獄級,-,-,-,-,-,-
1,水の中忍-a902c45dae68389ce9d31551008fb299.png,水の中忍,水,4050,1,15,60000,剛力の丸薬（5ターン攻撃力3倍）※HP25%以下で使用
1,氷のサムライオーガ-239cb3962736346b22ee26d983593399.png,氷のサムライオーガ,火水,13500,3,429750,300,<火>気合溜め（次回攻撃力2倍）<br><水>フリーズストライク（20250）
1,突撃兵・マリンゴブリン-a0ac811c72552e10066102cd6bf7d5d9.png,突撃兵・マリンゴブリン,水,-,1,331950,260,突撃（先制攻撃5760）<br>乱れ撃ち（2880×1～4の連続攻撃 最大11520）
2,紅氷星・リヴァイアサン-cf66681deb0619fff50058c2fa40cd68.png,紅氷星・リヴァイアサン,水火,-,5,1956665,260,水龍の咆哮（先制・ランダム1色→水ドロップ）<br>かみ砕く（72080）
3,ねねこ-60404b9d5dd155b3164b160abba19401.png,ねねこx2,水,12194,2,64400,2100,ファイアバインド<br>暗黒変化の術・水（闇ドロップ→水ドロップ）
3,魔眼の怪鳥・コカトリス-cc41864b102eae66bc379ab13afa1ad3.png,魔眼の怪鳥・コカトリス,水,8010,2,302250,300,コンフューズアイ（先制・ランダム2色排除）<br>スネークヴァイト（連続攻撃10414）<br>魔眼の瞳（2体4ターンバインド、1度きり）※30%以下で使用
4,漁猟の神・ウミサチヤマサチ-5da45def168614e2bc1ab33d5a715831.png,漁猟の神・ウミサチヤマサチ,水木,7944,1,2167695,775,山海の至宝（先制・10ターン木属性吸収）<br>潮盈珠（5958ダメージ＆回復ドロップ→水ドロップ）<br>潮乾珠（7944ダメージ＆水ドロップ排除）<br>山海の秘儀（連続攻撃23832）※30%以下で使用
5,-,綿津見の歌姫・セイレーン,水,-,1,1470765,290,深海の重圧（先制・残りHP99％ダメージ）<br>滅びの唄（1回目2910・2回目5819・3回目11638・4回目46552）<br>災いの魔声（木属性2～3ターンバインド、1度きり）*3
6,-,覚醒ワダツミ,水闇,11403,1,3058820,470,大海の衣（先制・999ターン4コンボ以下の攻撃吸収）<br>海刃（11403ダメージ＆木ドロップ→水ドロップ）<br>神水の災恵（17105ダメージ＆水ドロップ→回復ドロップ）<br>父なる海神の呪詛（ランダム3色排除）※75%以下で使用<br>海神の一撃（45612）※HP25%以下で使用
