?,天導の朱雀・レイラン-4cbd74b22dacb9ade48f1da0ab8f8fce.png,天導の朱雀・レイラン,火,8569,1,2016042,310,※精霊の宝玉イベント時のみ稀に出現、火の宝玉を確定ドロップ<br>封印の波動（先制・5ターンスキル使用不可）<br>南方七星陣（計47985の連続攻撃）※HP20%以下で使用
1,フレイムキメラ-d5fb569158e1edada9ee61518f32a931.png,フレイムキメラ,火,7650,2,34500,500,連続攻撃（10710）
1,バブルキメラ-82db8049697e8614448c43e145d81c89.png,バブルキメラ,水,7440,2,31500,500,連続攻撃（10416）
1,リーフキメラ-2460ed6d90c68f8b0481f38aaf2542b4.png,リーフキメラ,木,7200,2,33000,500,連続攻撃（10080）
2,神化の金面-69c6ac7038866e2e0962dccfc76165cb.png,神化の金面,光,9999,6,18,60000,ダークバインド
2,神化の黒面-3c9e9a7cbd36cebc85afd202420690c6.png,神化の黒面,闇,9999,6,18,60000,フラッシュバインド
2,神秘の仮面-02a43f75b44d7480538c26909640f070.png,神秘の仮面,光,4000,1,15,100000,-
3,パイロデーモン-d240e42b9f9dabd706fe4b55a0fce8d7.png,パイロデーモン,火,5460,1,46650,2200,ウォーターバインド
3,フロストデーモン-b51fc8156ccd7e89c7c0dde858991dd0.png,フロストデーモン,水,5490,1,48150,2200,リーフバインド
3,タウロスデーモン-8e7d296ea8444381155bf1e9aaf53aff.png,タウロスデーモン,木,5670,1,49650,2200,ファイアバインド
4,-,以下から2体が出現,-,-,-,-,-,-
4,マグマキマイラ-fbc209334551cc3939164c26636e300c.png,マグマキマイラ,火,14580,2,842100,1400,ダブルバインド<br>連続攻撃（20412）
4,ディープキマイラ-2bc39c7019b34e451d72e8519b4a6815.png,ディープキマイラ,水,14370,2,834600,1400,ダブルバインド<br>連続攻撃（20018）
4,フラワーキマイラ-686cf1d976169234589faf9b7d40c76c.png,フラワーキマイラ,木,14130,2,827100,1400,ダブルバインド<br>連続攻撃（19782）
5,ゼウス-85b20d91cf585207deda4afba638fa4b.png,ゼウス,光,18514,1,3853937,5520,神王の眼光（神タイプをバインド）<br>ドロップ排除・回復神の雷（27771）※HP75%以下で使用<br>スーパーノヴァ（合計46290の10回攻撃）※HP25%以下で使用
