-,-,超地獄級,-,-,-,-,-,-
?,極光の麒麟・サクヤ-6a5c18a5d1812e0b11a28efe5c680ffc.png,極光の麒麟・サクヤ,光,8569,1,2016042,310,※精霊の宝玉イベント時のみ稀に出現、光の宝玉を確定ドロップ<br>封印の波動（先制・5ターンスキル使用不可）<br>四源の舞（計68552の連続攻撃）※HP20%以下で使用
1,氷結獄・フロストデーモン-da6d95f0cf5350aa1d33c2b34b472f95.png,氷結獄・フロストデーモン,水,5141,1,430187,640,リーフバインド<br>イビルスラッシュ（9253）
1,闇地獄・ブラッドデーモン-5bafc24c9cc7692ebe94c9230ff4b9f6.png,闇地獄・ブラッドデーモン,闇,5376,1,440853,640,フラッシュバインド<br>イビルスラッシュ（9676）
2,-,いずれか1体が出現,-,-,-,-,-,-
2,蒼天龍・ニライカナイ-1a3510171624cc89dbff06e62c7f8f6f.png,蒼天龍・ニライカナイ,水,8820,2,906900,920,スプラッシュブレス（18522）
2,夜天龍・エリュシオン-33197f72175cb7e23ba2fcb2f7641ffa.png,夜天龍・エリュシオン,闇,6570,1,906900,920,カースブレス（11828）
3,究極邪龍・ヘルヘイム-49b0e64e7824908dd374fb96d4481d5b.png,究極邪龍・ヘルヘイム,闇,18583,2,836251,420,暗黒の息吹（ドロップが見えなくなる）<br>ゴッドヘルブレス（計41811の連続攻撃）
4,氷砕機龍・アルデバラン-9c0fb6c83a8fcbe687d6988f88390bd2.png,氷砕機龍・アルデバラン,水,10248,2,742777,784,エネルギーチャージ（次回攻撃力3倍→30744）<br>アイスクラッシャー（7173x2～5の連続攻撃）<br>オートリペア（HP中回復）
5,-,いずれか1体が出現,-,-,-,-,-,-
5,カオスデビルドラゴン-5f047c248b84d4ce653a17e859abae8d.png,カオスデビルドラゴン,闇,-,2,857267,6000,大きく口をひらいた（何もしない、初回1度きり）<br>カオスレイ（81860）
5,カオスブリザードドラゴン-ede71cd54d14ffd4e5ff4de4661a2567.png,カオスブリザードドラゴン,水,-,2,696526,7500,大きく口をひらいた（何もしない、初回1度きり）<br>カオスレイ（68270）
6,ヘラ・イース-1afe1a7da2c964706cb41b8ab04d677f.png,ヘラ・イース,水,24281,1,2912825,552,アイスコフィン（5体を1～3ターンバインド、初回1度きり）<br>フリーズブラスト（連続攻撃29138）※HP75%以下で使用<br>神のいたずら（ランダム2色排除、1度きり）※HP55%以下で使用<br>クリスタルコフィン（3体を2～3ターンバインド、1度きり）※HP40%以下で使用
-,-,地獄級,-,-,-,-,-,-
1,氷結獄・フロストデーモン-da6d95f0cf5350aa1d33c2b34b472f95.png,氷結獄・フロストデーモン,水,3588,1,300234,480,リーフバインド<br>イビルスラッシュ（6456）
1,闇地獄・ブラッドデーモン-5bafc24c9cc7692ebe94c9230ff4b9f6.png,闇地獄・ブラッドデーモン,闇,3752,1,307680,480,フラッシュバインド<br>イビルスラッシュ（6756）
2,-,いずれか1体が出現,-,-,-,-,-,-
2,蒼天龍・ニライカナイ-1a3510171624cc89dbff06e62c7f8f6f.png,蒼天龍・ニライカナイ,水,6930,2,712084,736,スプラッシュブレス（14544）
2,夜天龍・エリュシオン-33197f72175cb7e23ba2fcb2f7641ffa.png,夜天龍・エリュシオン,闇,5159,1,712084,736,カースブレス（9288）
3,究極邪龍・ヘルヘイム-49b0e64e7824908dd374fb96d4481d5b.png,究極邪龍・ヘルヘイム,闇,9961,2,448228,252,暗黒の息吹（ドロップが見えなくなる）<br>ゴッドヘルブレス（計22413の連続攻撃）
4,氷砕機龍・アルデバラン-9c0fb6c83a8fcbe687d6988f88390bd2.png,氷砕機龍・アルデバラン,水,7000,2,507360,560,エネルギーチャージ（次回攻撃力3倍→21000）<br>アイスクラッシャー（4900x2～5の連続攻撃）<br>オートリペア（HP中回復）
5,-,いずれか1体が出現,-,-,-,-,-,-
5,カオスデビルドラゴン-5f047c248b84d4ce653a17e859abae8d.png,カオスデビルドラゴン,闇,-,2,695833,5000,大きく口をひらいた（何もしない、初回1度きり）<br>カオスレイ（66444）
5,カオスブリザードドラゴン-ede71cd54d14ffd4e5ff4de4661a2567.png,カオスブリザードドラゴン,水,-,2,534933,6000,大きく口をひらいた（何もしない、初回1度きり）<br>カオスレイ（51678）
6,ヘラ・イース-1afe1a7da2c964706cb41b8ab04d677f.png,ヘラ・イース,水,15136,1,1815786,368,アイスコフィン（5体を1～3ターンバインド、初回1度きり）<br>フリーズブラスト（連続攻撃18164）※HP75%以下で使用<br>神のいたずら（ランダム2色排除、1度きり）※HP55%以下で使用<br>クリスタルコフィン（3体を2～3ターンバインド、1度きり）※HP40%以下で使用
